"idCar","StartTimeStamp","StartLat","StartLon","FinishTimestamp","FinishLat","FinishLon"
<<<<<<< Updated upstream
"35","1401600481000","36.0762253","24.87468932","1401600924000","36.07333683","24.86421942"
"4","1401601981000","36.07332875","24.86418589","1401610156000","36.06409512","24.84126251"
"101","1401613413000","36.06405761","24.84137818","1401615539000","36.050888","24.82597005"
"104","1401618867000","36.05092255","24.82597697","1401622936000","36.06338067","24.85103902"
"4","1401624001000","36.06346403","24.85097294","1401629182000","36.04803029","24.87957094"
"30","1401632281000","36.04803177","24.87956841","1401632667000","36.04804057","24.87957385"
"101","1401634410000","36.04802115","24.87957058","1401657302000","36.04802174","24.87956959"
"1","1401660061000","36.04802471","24.87957304","1404173642000","36.06643937","24.88259434"
"1","1404181201000","36.06645565","24.88262136","1404182110000","36.07682632","24.8659217"
"15","1404193021000","36.07685752","24.86589184","1404193463000","36.07332795","24.86422942"
"4","1404194161000","36.07335772","24.86417021","1404200290000","36.04807086","24.87956659"
"2","1404200920000","36.04803206","24.8795654","1404203342000","36.05413626","24.90813697"
"101","1404204971000","36.05420832","24.90813251","1404214984000","36.05196257","24.87084285"
"30","1404216230000","36.05194611","24.87080612","1404221885000","36.04804255","24.87956535"
"105","1404223411000","36.0480273","24.87957265","1404223691000","36.05842665","24.88556292"
"106","1404224547000","36.05844508","24.88547117","1404226576000","36.05855526","24.88087037"
"105","1404228188000","36.05852367","24.88091539","1404228666000","36.04807832","24.87957241"
"106","1404230641000","36.04802413","24.87956915","1404245383000","36.06036472","24.90560193"
"21","1404246181000","36.06043409","24.90565706","1406882715000","36.05848568","24.88545378"
"105","1406883410000","36.05847636","24.88553118","1406883690000","36.05412646","24.90820856"
"106","1406884622000","36.05418223","24.90810214","1406899885000","36.048038","24.87957235"
"105","1406902806000","36.04802519","24.87956627","1406903744000","36.04804657","24.87957161"
"104","1406904775000","36.04803154","24.8795683","1406904908000","36.05852185","24.8808983"
"105","1406907539000","36.05851786","24.88089399","1406921797000","36.06719059","24.88596361"
"8","1406922415000","36.0673003","24.88587989","1406933822000","36.06647822","24.8826179"
"1","1409538001000","36.06645717","24.88261133","1409539218000","36.0625174","24.89878371"
"24","1409549761000","36.06244323","24.89881931","1409560610000","36.05421456","24.9081956"
"101","1409561722000","36.05413265","24.90814722","1409561774000","36.05848458","24.88544839"
"105","1409563046000","36.0584332","24.88548642","1409583463000","36.04804177","24.87956699"
"104","1409585002000","36.04802446","24.87957594","1409604385000","36.08657807","24.857577"
"3","1412140861000","36.08669329","24.85756832","1412142504000","36.07335872","24.86420642"
"4","1412143261000","36.0733594","24.86418569","1412148730000","36.04806989","24.87957536"
"2","1412150625000","36.04803013","24.87957407","1412151281000","36.05847418","24.88546869"
"101","1412154363000","36.05847576","24.88552745","1412193344000","36.07679337","24.86589049"
